sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
sector 82,flat,vatika independent floors,1.16,6987.0,1660.0,Carpet area: 1660 (154.22 sq.m.),3,3,3+,1.0,South-East,Relatively new property,,,1660.0,1,0,0,1,1,0,151
sector 83,flat,emaar palm gardens,1.76,9263.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),3,3,3,6.0,North-West,Relatively new property,1900.0,1500.0,1240.0,1,0,0,0,0,0,165
sector 104,flat,godrej summit,1.16,6387.0,1816.0,Carpet area: 1816 (168.71 sq.m.),3,4,3+,8.0,East,Relatively new property,,,1816.0,1,0,0,0,0,0,96
sohna road,flat,signature global park,0.54,7200.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4.0,North-East,Under Construction,,,750.0,0,0,0,0,0,1,111
sector 38,flat,navjyoti apartment,2.1,11938.0,1759.0,Carpet area: 1759 (163.42 sq.m.),4,4,3+,10.0,North,Old Property,,,1759.0,0,0,0,0,0,2,22
sector 92,flat,sare crescent parc,0.95,5013.0,1895.0,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,5,3+,13.0,North,Undefined,,1895.0,1500.0,0,0,0,0,0,1,0
sector 53,flat,parsvnath exotica,4.8,16580.0,2895.0,Super Built up area 2895(268.95 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,3+,8.0,North-East,Relatively new property,2895.0,2500.0,2200.0,1,0,1,1,0,0,174
sector 89,flat,greenopolis,0.8,4820.0,1660.0,Super Built up area 1660(154.22 sq.m.),2,3,3,8.0,Na,Under Construction,1660.0,,,0,1,1,0,0,1,60
sector 25,house,independent,9.9,29333.0,3375.04,Plot area 375(313.55 sq.m.),5,5,2,2.0,South-East,Moderately New Property,,3375.0,,0,0,0,1,0,0,106
sector 65,flat,m3m golfestate,6.15,18287.0,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,23.0,Na,Moderately New Property,3363.0,,2710.0,1,1,0,0,0,0,60
sector 12,house,independent,1.0,74074.0,135.0,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),9,7,3+,3.0,North,Moderately New Property,,3750.0,,0,0,0,1,1,1,7
sector 85,flat,ss the leaf,1.85,6578.0,2812.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,1.0,North-West,Relatively new property,2812.0,,,0,0,0,0,0,1,95
sector 2,house,ansals palam vihar,4.0,16666.0,2400.1,Plot area 2400(222.97 sq.m.),4,4,3+,2.0,North-East,Moderately New Property,,2400.0,,1,0,0,0,0,1,0
sector 43,house,ansal sushant lok plots,5.8,29974.0,1935.01,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively new property,,1935.0,,1,0,1,0,0,0,49
sector 90,flat,dlf new town heights,1.2,6217.0,1930.0,Carpet area: 1930 (179.3 sq.m.),3,3,3+,8.0,North-West,Moderately New Property,,,1930.0,1,0,0,1,0,1,59
sector 67a,flat,pyramid urban,0.55,10516.0,523.0,Carpet area: 523 (48.59 sq.m.),2,2,2,3.0,South-West,Relatively new property,,,523.0,0,0,0,0,0,1,73
sector 70a,flat,capital residences 360,1.66,8400.0,1976.0,Super Built up area 1976(183.58 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,8.0,East,New Property,1976.0,1900.0,1500.0,1,0,0,0,0,1,132
sector 82a,flat,dlf the primus,1.8,13846.0,1300.0,Super Built up area 1818(168.9 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,10.0,North-East,Relatively new property,1818.0,,1300.0,1,0,0,0,0,2,174
sector 37c,flat,ild greens,0.9,5614.0,1603.0,Super Built up area 1603(148.92 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.),3,3,3,0.0,North-East,Under Construction,1603.0,1500.0,,0,0,0,0,0,1,66
sector 37c,flat,ild greens,1.0,4723.0,2117.0,Super Built up area 1800(167.23 sq.m.),3,3,3,3.0,Na,Under Construction,1800.0,,,0,0,0,0,0,1,51
sector 107,flat,m3m woodshire,1.7,6141.0,2768.0,Super Built up area 2768(257.16 sq.m.),4,5,3+,9.0,South,Relatively new property,2768.0,,,1,0,0,0,0,1,79
sector 1,flat,dnha cghs,0.85,3864.0,2200.0,Built Up area: 2200 (204.39 sq.m.),3,3,0,5.0,Na,Undefined,,2200.0,,0,0,0,0,0,1,0
sector 67,flat,m3m merlin,2.78,13580.0,2047.0,Super Built up area 2047(190.17 sq.m.),3,3,3+,4.0,South-West,Relatively new property,2047.0,,,0,0,0,1,0,0,157
sector 113,flat,la vida by tata housing,3.05,11338.0,2690.0,Super Built up area 2690(249.91 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2240 sq.ft. (208.1 sq.m.),3,4,3,15.0,North-East,New Property,2690.0,2600.0,2240.0,1,0,0,0,0,1,174
sector 12,flat,bhagwati sadan,1.15,5500.0,2091.0,Built Up area: 2000 (185.81 sq.m.),3,4,2,2.0,Na,Old Property,,2000.0,,1,0,1,0,0,1,0
sector 33,flat,godrej nature plus,1.4,15124.0,926.0,Super Built up area 145Carpet area: 86 sq.m.,3,2,3+,20.0,Na,New Property,145.0,,86.0,0,0,0,0,0,1,70
sector 63a,flat,birla navya,3.7,15416.0,2400.0,Carpet area: 2400 (222.97 sq.m.),3,3,3+,1.0,North,Under Construction,,,2400.0,0,0,0,0,0,1,72
sector 95,flat,signature the roselia,0.45,7908.0,569.0,Carpet area: 569 (52.86 sq.m.),2,2,2,2.0,East,New Property,,,569.0,0,0,0,0,0,0,31
sector 56,flat,guru gram haryana cghs,1.38,7225.0,1910.0,Built Up area: 1910 (177.44 sq.m.),3,3,3,5.0,North,Moderately New Property,,1910.0,,0,1,0,0,0,0,134
sector 63a,flat,signature global city 63a,1.65,15263.0,1081.0,Super Built up area 1081(100.43 sq.m.),2,2,2,1.0,Na,Under Construction,1081.0,,,0,0,0,0,0,1,0
sector 49,house,eros rosewood villas,2.5,13513.0,1850.07,Plot area 1530(142.14 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,3,2,2.0,East,Moderately New Property,,1900.0,1850.0,0,0,0,1,1,1,59
sector 99,flat,pivotal riddhi siddhi,0.5,8517.0,587.0,Carpet area: 587 (54.53 sq.m.),2,1,2,7.0,Na,New Property,,,587.0,0,0,0,0,0,1,24
sohna road,flat,hcbs sports ville,0.2,4219.0,474.0,Built Up area: 473.99 (44.04 sq.m.),1,1,1,3.0,East,New Property,,474.042156,,0,0,0,0,0,1,71
sector 103,flat,on request,1.69,9146.0,1848.0,Super Built up area 1845(171.41 sq.m.),3,3,3+,8.0,Na,Relatively new property,1845.0,,,0,0,0,0,0,1,49
sector 56,flat,smriti apartment,0.52,10666.0,488.0,Super Built up area 525(48.77 sq.m.),1,1,1,1.0,Na,Old Property,525.0,,,0,0,0,0,0,1,34
sector 56,flat,the lions cghs,2.05,7884.0,2600.0,Super Built up area 2600(241.55 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3+,6.0,South,Relatively new property,2600.0,2500.0,2400.0,0,0,1,0,0,0,101
sector 85,flat,godrej air,1.3,14541.0,894.0,Super Built up area 1400(130.06 sq.m.)Carpet area: 894 sq.ft. (83.06 sq.m.),2,2,3,30.0,Na,Under Construction,1400.0,,894.0,0,0,0,0,0,1,111
manesar,flat,deepak minda,1.25,4716.0,2651.0,Carpet area: 2650 (246.19 sq.m.),3,3,3+,6.0,Na,Moderately New Property,,,2650.0,1,0,0,0,0,1,44
sector 105,house,independent,1.1,12222.0,900.02,Carpet area: 900 (83.61 sq.m.),6,4,1,1.0,South-West,Undefined,,,900.0,0,0,0,0,0,1,0
sohna road,flat,signature the serenas,0.42,7909.0,531.0,Carpet area: 531 (49.33 sq.m.),2,2,1,12.0,Na,New Property,,,531.0,0,0,0,0,0,1,54
sector 89,flat,smart world gems,1.05,9519.0,1103.0,Built Up area: 1103 (102.47 sq.m.),2,2,2,4.0,Na,Under Construction,,1103.0,,0,1,1,0,0,1,38
sector 37d,flat,ramprastha primera,1.1,6111.0,1800.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,6.0,North-West,Relatively new property,1800.0,1700.0,1600.0,0,0,0,0,0,1,149
sector 90,flat,shree vardhman flora,0.65,4814.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,10.0,North,Moderately New Property,1350.0,,,0,1,0,0,0,0,83
sector 102,flat,shapoorji pallonji joyville gurugram,1.99,20664.0,963.0,Super Built up area 1349(125.33 sq.m.)Carpet area: 963 sq.ft. (89.47 sq.m.),2,2,2,14.0,South,New Property,1349.0,,963.0,0,0,0,0,0,1,152
sector 105,house,independent,0.37,8222.0,450.01,Plot area 450(41.81 sq.m.),2,2,1,1.0,Na,Moderately New Property,,450.0,,0,0,1,0,0,1,0
sector 109,flat,ats kocoon,2.2,10023.0,2195.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,8.0,North-East,Relatively new property,2095.0,1860.0,,1,0,0,0,0,1,156
sector 57,house,independent,3.5,21605.0,1620.0,Plot area 180(150.5 sq.m.),4,4,3+,3.0,South,Old Property,,1620.0,,0,0,0,0,1,0,67
sector 70,flat,krrish florence estate,1.65,7764.0,2125.0,Super Built up area 2125(197.42 sq.m.),3,4,3+,27.0,North-East,New Property,2125.0,,,1,1,0,0,0,1,81
sector 8,house,independent,0.62,11273.0,549.99,Built Up area: 550 (51.1 sq.m.),3,1,0,2.0,Na,Undefined,,550.0,,0,0,0,0,0,1,0
sector 33,house,nitin vihar,0.85,9444.0,900.04,Plot area 900(83.61 sq.m.),3,2,0,1.0,West,Relatively new property,,900.0,,0,0,0,0,0,1,15
sector 67,flat,m3m merlin,3.4,14418.0,2358.0,Super Built up area 2358(219.07 sq.m.),3,4,3+,16.0,West,Relatively new property,2358.0,,,1,0,0,0,0,0,158
sector 71,flat,chd avenue,1.3,5531.0,2350.0,Super Built up area 2350(218.32 sq.m.),4,4,3,5.0,North-East,Moderately New Property,2350.0,,,1,0,0,0,0,1,126
sector 61,flat,smart world orchard,2.41,14785.0,1630.0,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3,3,3,2.0,East,New Property,,1630.0,1625.0,0,0,0,0,0,1,61
sector 86,flat,dlf the skycourt,1.6,8294.0,1929.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1548 sq.ft. (143.81 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,9.0,North-East,Relatively new property,1929.0,1548.0,1300.0,0,0,1,0,0,0,167
sector 92,flat,sare green parc,0.85,6741.0,1261.0,Built Up area: 1261 (117.15 sq.m.),3,2,2,14.0,Na,Undefined,,1261.0,,0,0,0,0,0,1,0
sector 91,flat,tarc maceo,0.87,6641.0,1310.0,Super Built up area 1310(121.7 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,9.0,North-West,Relatively new property,1310.0,,1000.0,0,0,0,0,1,1,78
sector 55,house,independent,9.19,34037.0,2700.0,Plot area 300(250.84 sq.m.),16,18,2,4.0,West,New Property,,2700.0,,1,0,0,1,0,0,49
sector 92,flat,sare homes,0.8,4694.0,1704.0,Carpet area: 1704 (158.31 sq.m.),4,4,3,1.0,North-East,Moderately New Property,,,1704.0,0,0,0,0,0,1,77
sector 81,flat,signature global synera,0.38,9500.0,400.0,Carpet area: 400 (37.16 sq.m.),1,1,2,3.0,South-West,Relatively new property,,,400.0,0,0,0,0,0,1,43
sector 9,house,independent,0.5,6083.0,821.96,Built Up area: 822 (76.37 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),3,2,1,1.0,Na,Undefined,,822.0,750.0,0,0,0,0,0,1,0
sector 59,flat,conscient elevate,4.02,17500.0,2297.0,Carpet area: 2295 (213.21 sq.m.),3,3,1,3.0,Na,Under Construction,,,2295.0,0,0,0,0,0,1,31
sector 62,flat,senate court,0.9,14084.0,639.0,Built Up area: 639 (59.37 sq.m.),1,1,0,0.0,Na,Undefined,,639.0,,0,0,0,0,0,1,0
sector 65,flat,m3m golfestate,5.5,16959.0,3243.0,Super Built up area 3243(301.28 sq.m.)Built Up area: 2803 sq.ft. (260.41 sq.m.)Carpet area: 2388 sq.ft. (221.85 sq.m.),3,4,3,3.0,North-East,Relatively new property,3243.0,2803.0,2388.0,1,0,0,0,0,1,49
sector 92,flat,sare green parc phase 3,0.95,4856.0,1956.0,Super Built up area 1956(181.72 sq.m.),4,3,3,4.0,North,Moderately New Property,1956.0,,,0,0,0,0,0,1,67
sector 48,flat,bestech park view city,2.7,11713.0,2305.0,Super Built up area 2305(214.14 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3+,7.0,North-East,Relatively new property,2305.0,2000.0,1700.0,1,1,0,0,0,0,174
sector 90,flat,dlf new town heights,1.2,6217.0,1930.0,Super Built up area 1930(179.3 sq.m.),3,3,3+,15.0,North,Relatively new property,1930.0,,,0,0,0,0,0,1,37
sector 49,flat,orchid petals,1.9,10526.0,1805.0,Carpet area: 1805 (167.69 sq.m.),3,3,3,9.0,North-West,Moderately New Property,,,1805.0,1,0,0,0,0,1,95
sector 70a,flat,aipl the peaceful homes,1.6,9584.0,1669.0,Super Built up area 1565(145.39 sq.m.),2,2,2,22.0,North,Moderately New Property,1565.0,,,0,0,0,0,0,1,86
sector 79,flat,m3m golf hills,1.45,10211.0,1420.0,Carpet area: 1420 (131.92 sq.m.),2,2,3,15.0,Na,Under Construction,,,1420.0,0,0,0,0,0,1,67
sector 69,house,independent,0.8,10484.0,763.07,Built Up area: 763 (70.89 sq.m.),1,1,0,1.0,Na,Undefined,,763.0,,0,0,0,0,0,1,0
sector 67,flat,m3m urbana,1.0,12106.0,826.0,Built Up area: 826 (76.74 sq.m.),1,1,1,17.0,South,Relatively new property,,826.0,,0,0,0,0,0,1,49
sector 26,house,dlf city phase 1,9.25,47803.0,1935.02,Plot area 1935(179.77 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),12,12,3+,4.0,North-East,New Property,,7000.0,,1,0,0,1,0,0,43
sector 56,flat,park royal apartment,1.71,7600.0,2250.0,Built Up area: 2251 (209.12 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,3,3+,5.0,North-East,Moderately New Property,,2251.0,2250.0,1,0,0,0,0,0,118
sector 69,flat,tulip violet,1.37,8907.0,1538.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12.0,North-East,Relatively new property,1538.0,,,0,0,0,0,0,1,116
sector 105,house,independent,0.74,7400.0,1000.0,Built Up area: 1000 (92.9 sq.m.),3,3,0,2.0,Na,Undefined,,1000.0,,0,0,0,0,0,1,0
sector 109,house,international city by sobha phase 1,5.85,26423.0,2213.98,Plot area 246(205.69 sq.m.),4,5,3+,2.0,East,Relatively new property,,2214.0,,1,0,0,0,0,0,85
sector 72,house,spaze privy,3.09,6981.0,4426.3,Built Up area: 3653 (339.37 sq.m.)Carpet area: 2922 sq.ft. (271.46 sq.m.),5,5,3+,14.0,East,Relatively new property,,3653.0,2922.0,1,0,0,0,0,0,33
sector 10a,house,independent,3.6,19608.0,1835.99,Plot area 204(170.57 sq.m.),8,4,3,3.0,North,Moderately New Property,,1836.0,,0,0,0,1,0,0,28
sector 82,flat,mapsko casa bella,1.25,6377.0,1960.0,Super Built up area 1960(182.09 sq.m.),3,4,3+,8.0,Na,Under Construction,1960.0,,,0,0,0,0,0,1,54
sector 26,house,independent,4.0,29630.0,1349.98,Plot area 150(125.42 sq.m.),4,4,3,2.0,North,Old Property,,1350.0,,0,0,0,0,1,1,41
sector 81,house,signature global city 81,0.75,6849.0,1095.05,Plot area 1095(101.73 sq.m.),3,2,3,4.0,East,Under Construction,,1095.0,,0,1,0,0,0,1,97
sector 37c,flat,ild greens,1.0,4320.0,2315.0,Super Built up area 1875(174.19 sq.m.),3,3,3+,5.0,North,Under Construction,1875.0,,,0,0,0,0,0,1,51
sector 26,house,dlf city phase 1,5.5,30556.0,1799.97,Plot area 200(167.23 sq.m.),4,4,3,2.0,North-East,Moderately New Property,,1800.0,,1,1,0,1,0,1,69
sector 65,flat,emaar emerald hills,1.95,13928.0,1400.0,Carpet area: 1400 (130.06 sq.m.),3,3,3+,1.0,North-East,New Property,,,1400.0,0,0,0,0,1,0,117
sector 4,house,naman residency,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),2,2,2,2.0,West,New Property,,450.0,,1,1,1,1,0,1,14
sector 83,flat,vatika gurgaon,1.15,5808.0,1980.0,Super Built up area 1980(183.95 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1308 sq.ft. (121.52 sq.m.),3,3,2,3.0,South,Relatively new property,1980.0,1350.0,1308.0,1,1,0,1,1,0,165
sector 70,flat,shree vardhman victoria,1.65,8461.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,6.0,North-East,Relatively new property,1950.0,,1161.0,1,0,0,1,0,1,167
sector 104,flat,ats triumph,2.65,8412.0,3150.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 2650 sq.ft. (246.19 sq.m.),4,4,3+,14.0,East,Relatively new property,3150.0,,2650.0,1,0,0,0,0,1,21
sector 84,flat,antriksh heights,0.9,6206.0,1450.0,Super Built up area 1725(160.26 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,12.0,North-East,Relatively new property,1725.0,1525.0,1450.0,0,0,0,0,0,1,166
sector 72,flat,tata primanti,4.0,13769.0,2905.0,Super Built up area 2905(269.88 sq.m.),4,5,2,7.0,South-East,Moderately New Property,2905.0,,,1,0,0,0,0,1,38
sector 109,house,ats tourmaline,1.87,8697.0,2150.17,Built Up area: 2150 (199.74 sq.m.),3,4,0,12.0,Na,Undefined,,2150.0,,0,0,0,0,0,1,0
sector 47,house,independent,5.25,11666.0,4500.26,Plot area 1944(180.6 sq.m.)Built Up area: 4650 sq.ft. (432 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3+,4.0,East,Relatively new property,,4650.0,4500.0,1,0,0,0,0,0,142
sector 89,house,smart world gems,1.25,8784.0,1423.04,Built Up area: 1423 (132.2 sq.m.),3,3,2,1.0,Na,Under Construction,,1423.0,,0,1,1,0,0,1,45
sector 109,flat,sbtl caladium,1.26,6542.0,1926.0,Super Built up area 1880(174.66 sq.m.),3,2,3,8.0,North-East,Relatively new property,1880.0,,,0,0,0,0,0,1,103
sector 2,flat,ansal api celebrity suites,0.6,8163.0,735.0,Super Built up area 735(68.28 sq.m.),1,1,1,5.0,North-East,Moderately New Property,735.0,,,0,0,0,0,0,0,88
sector 40,house,independent,5.0,21124.0,2366.98,Plot area 263(219.9 sq.m.),9,9,3+,3.0,South-East,Relatively new property,,2367.0,,0,0,0,1,0,0,66
sector 43,flat,sushant lok 1 builder floors,2.5,12920.0,1935.0,Super Built up area 215(179.77 sq.m.),3,3,2,2.0,Na,New Property,215.0,,,0,0,0,0,0,1,0
sector 107,flat,m3m woodshire,0.88,6442.0,1366.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,3.0,East,Relatively new property,1366.0,,,0,0,0,0,0,1,99
sector 56,flat,sukhshanti apartment,1.7,7727.0,2200.0,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),3,3,3,4.0,South,Moderately New Property,,2200.0,1610.0,0,1,0,0,0,1,49
sector 33,flat,godrej nature plus,1.9,9849.0,1929.0,Carpet area: 1929 (179.21 sq.m.),3,3,3+,14.0,Na,New Property,,,1929.0,1,0,0,0,0,1,96
sector 85,flat,ss the leaf,1.2,7317.0,1640.0,Super Built up area 1640(152.36 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2,2,3+,14.0,East,Relatively new property,1640.0,,1148.0,0,0,0,0,1,1,141
sector 21,flat,mittal surya vihar,0.8,7079.0,1130.0,Carpet area: 1130 (104.98 sq.m.),2,2,2,6.0,Na,Old Property,,,1130.0,0,0,0,0,0,1,0
sector 14,house,independent,4.5,20000.0,2250.0,Carpet area: 2500 (232.26 sq.m.),5,5,1,1.0,Na,Relatively new property,,,2500.0,0,0,0,0,0,1,0
sector 49,house,ss aaron ville,6.75,19737.0,3419.97,Plot area 380(317.73 sq.m.),5,4,2,2.0,North,Old Property,,3420.0,,1,1,0,0,1,1,78
sector 85,flat,ss the leaf,1.2,12371.0,970.0,Super Built up area 1671(155.24 sq.m.)Built Up area: 1190 sq.ft. (110.55 sq.m.)Carpet area: 970 sq.ft. (90.12 sq.m.),2,2,2,4.0,East,Relatively new property,1671.0,1190.0,970.0,1,0,0,0,1,1,81
sohna road,flat,signature the serenas,0.45,8474.0,531.0,Carpet area: 531 (49.33 sq.m.),2,2,1,10.0,Na,New Property,,,531.0,0,0,0,0,0,1,23
sector 48,flat,kibithu villas,3.45,12777.0,2700.0,Carpet area: 2700 (250.84 sq.m.),4,4,3+,2.0,Na,Undefined,,,2700.0,0,0,0,0,0,1,0
sohna road,flat,trisara our homes 3,0.4,4478.0,893.0,Built Up area: 900 (83.61 sq.m.)Carpet area: 602 sq.ft. (55.93 sq.m.),2,2,2,1.0,Na,Undefined,,900.0,602.0,0,0,0,0,0,1,0
sector 91,flat,tarc maceo,0.89,6339.0,1404.0,Super Built up area 1404(130.44 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3+,9.0,East,Relatively new property,1404.0,,1200.0,0,0,1,0,0,0,13
sector 70a,flat,capital residences 360,1.68,8502.0,1976.0,Super Built up area 1976(183.58 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),3,3,3+,5.0,North-East,New Property,1976.0,1900.0,1560.0,1,0,0,0,0,1,141
sector 56,flat,kanchanjanga tower,1.45,7631.0,1900.0,Super Built up area 1900(176.52 sq.m.),3,3,3+,2.0,North,Moderately New Property,1900.0,,,0,0,0,0,0,0,126
sector 82,flat,mapsko casa bella,0.86,8120.0,1059.0,Super Built up area 1430(132.85 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3,3,3,5.0,South,Moderately New Property,1430.0,,1056.0,0,1,0,0,0,0,120
sector 66,house,emaar mgf marbella,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,3.0,East,New Property,,3240.0,,1,0,0,1,1,0,106
sector 90,flat,shree vardhman flora,0.65,4814.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,6.0,West,Relatively new property,1350.0,,,0,1,0,0,0,1,174
sector 86,flat,ansal heights 86,0.87,5367.0,1621.0,Super Built up area 1360(126.35 sq.m.),2,2,1,12.0,North-East,New Property,1360.0,,,0,0,1,0,0,0,45
sector 104,flat,ats triumph,1.75,7641.0,2290.0,Super Built up area 2290(212.75 sq.m.),3,4,3+,11.0,South-East,Relatively new property,2290.0,,,1,0,0,0,0,1,110
sector 33,flat,breeze global heights,0.4,6421.0,623.0,Built Up area: 623 (57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2,2,2,4.0,Na,Undefined,,623.0,599.0,0,0,0,0,0,1,0
sohna road,flat,breez global hill view,2.6,46917.0,554.0,Carpet area: 554.16 (51.48 sq.m.),2,2,2,6.0,Na,New Property,,,554.1255719999999,0,0,0,0,0,1,42
sector 43,house,ansal sushant lok plots,7.0,25926.0,2699.99,Plot area 300(250.84 sq.m.),5,5,3+,3.0,North-East,Relatively new property,,2700.0,,1,1,0,1,0,0,41
sector 31,house,independent,3.5,24155.0,1448.98,Plot area 161(134.62 sq.m.),4,3,3,2.0,South-West,Moderately New Property,,1449.0,,0,0,0,0,1,0,81
sector 33,flat,central park flower valley,1.79,11251.0,1591.0,Super Built up area 1789(166.2 sq.m.),3,3,3,3.0,South,Old Property,1789.0,,,0,0,0,0,0,1,71
sector 69,flat,tulip leaf,2.06,11386.0,1809.0,Super Built up area 1812(168.34 sq.m.),3,3,3,16.0,South-West,Relatively new property,1812.0,,,0,0,0,0,0,1,49
manesar,flat,deepak minda,1.2,4528.0,2650.0,Carpet area: 2650 (246.19 sq.m.),3,3,3+,6.0,North-West,Moderately New Property,,,2650.0,1,0,0,0,0,1,7
sector 67a,flat,pyramid urban,0.62,11854.0,523.0,Carpet area: 523 (48.59 sq.m.),2,2,2,2.0,South,Relatively new property,,,523.0,0,0,0,0,0,1,64
sector 90,flat,shree vardhman flora,1.27,4951.0,2565.0,Super Built up area 2575(239.23 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4,5,2,9.0,North-East,New Property,2575.0,,1950.0,1,1,0,0,0,1,83
sohna road,flat,signature global park,0.9,8035.0,1120.0,Super Built up area 1120(104.05 sq.m.),3,2,2,2.0,South,Under Construction,1120.0,,,0,0,0,0,0,1,144
sector 79,flat,supertech araville,0.71,5522.0,1286.0,Built Up area: 1295 (120.31 sq.m.),2,2,0,9.0,Na,Under Construction,,1295.0,,0,0,0,0,0,1,0
sector 102,flat,shapoorji pallonji joyville,1.1,12022.0,915.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,1,7.0,Na,Undefined,,915.0,700.0,0,0,0,0,0,1,0
sector 7,house,independent,0.89,18658.0,477.01,Plot area 477(44.31 sq.m.),5,3,2,2.0,East,Old Property,,477.0,,0,0,0,0,0,1,8
sector 103,flat,indiabulls centrum park,2.36,9182.0,2570.0,Super Built up area 2875(267.1 sq.m.)Carpet area: 2570 sq.ft. (238.76 sq.m.),4,6,3+,8.0,East,Relatively new property,2875.0,,2570.0,1,0,0,0,0,0,159
sector 67,flat,bestech park view spa next,2.72,11574.0,2350.0,Super Built up area 2350(218.32 sq.m.)Built Up area: 2250 sq.ft. (209.03 sq.m.)Carpet area: 2001 sq.ft. (185.9 sq.m.),4,4,3+,0.0,South-West,Relatively new property,2350.0,2250.0,2001.0,1,0,0,1,0,0,128
sector 111,flat,m3m crown,4.67,17000.0,2747.0,Carpet area: 2750 (255.48 sq.m.),4,4,3+,8.0,Na,Under Construction,,,2750.0,0,0,0,0,0,1,73
sector 89,flat,greenopolis,0.9,4700.0,1915.0,Built Up area: 1910 (177.44 sq.m.),3,3,0,14.0,Na,Under Construction,,1910.0,,0,0,0,0,0,1,67
sector 70,flat,shree vardhman victoria,1.62,8307.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,9.0,North,Relatively new property,1950.0,,1161.0,1,0,0,0,0,1,43
